# Adélka škola — Aplikovaná chemie 28-44-M/01, 2. ročník
# VOŠZ a SZŠ Praha 1, Alšovo nábřeží 6
# Formát: Otázka?;správná;špatná;špatná(;špatná);~vysvětlení

#TÉMA: Organická chemie — základy a vazby
Jak se běžně říká ethanalu?;acetaldehyd;formaldehyd;aceton;benzaldehyd;~Vzniká v těle při odbourávání alkoholu a působí kocovinu.
Který nejjednodušší keton je běžné rozpouštědlo?;aceton;butanon;cyklohexanon;benzofenon;~Propanon rozpouští laky a odlakovače.
Kdy se aceton objevuje v dechu pacienta?;při neléčené cukrovce;při chřipce;po jídle;při zlomenině;~Acetonový zápach doprovází ketoacidózu.
Kterou zkouškou rozlišíme aldehyd od ketonu?;Fehlingovou nebo Tollensovou;plamennou;lakmusovou;destilační;~Aldehydy se snadno oxidují, ketony ne.
Co pozorujeme při pozitivní Tollensově zkoušce?;stříbrné zrcátko na stěně zkumavky;červenou sraženinu;modrý roztok;bublinky plynu;~Aldehyd zredukuje stříbrné ionty na kovové stříbro.
Co pozorujeme při pozitivní Fehlingově zkoušce?;cihlově červenou sraženinu;stříbrné zrcátko;bílý zákal;fialové zbarvení;~Vzniká oxid měďný Cu2O.
Reagují ketony s Fehlingovým činidlem?;ne;ano, silně;jen za varu;jen v kyselině;~Ketony nemají vodík na karbonylovém uhlíku, nelze je snadno oxidovat.
Co vzniká redukcí aldehydu?;primární alkohol;sekundární alkohol;kyselina;ether;~Reakce je opakem oxidace alkoholu.
Co vzniká redukcí ketonu?;sekundární alkohol;primární alkohol;aldehyd;kyselina;~Karbonyl přejde na hydroxylovou skupinu.
Jaká je typická reakce karbonylových sloučenin?;nukleofilní adice;elektrofilní substituce;radikálová substituce;eliminace;~Uhlík karbonylu je částečně kladný, přitahuje nukleofily.
Který aldehyd voní po hořkých mandlích?;benzaldehyd;formaldehyd;acetaldehyd;propanal;~Používá se jako vonná složka.
Co je vanilin?;aromatický aldehyd vanilky;keton;alkohol;kyselina;~Nejrozšířenější aromatická látka v potravinářství.
Jaká je keto-enol tautomerie?;rovnováha mezi ketonem a enolem;mezi kyselinou a solí;mezi cis a trans;mezi dvěma alkoholy;~Vodík se přesouvá mezi uhlíkem a kyslíkem.
Co je aldolová kondenzace?;spojení dvou karbonylových sloučenin;štěpení řetězce;oxidace;polymerace;~Vzniká aldol s OH i CHO skupinou.
Který polymer vzniká z fenolu a formaldehydu?;bakelit;polyethylen;nylon;teflon;~První plně syntetický plast, vynalezl ho Leo Baekeland.

#TÉMA: Organická chemie — karboxylové kyseliny a deriváty
Jaká funkční skupina je v karboxylových kyselinách?;karboxylová COOH;karbonylová CO;hydroxylová OH;aminová NH2;~Spojení karbonylu a hydroxylu dává kyselé vlastnosti.
Jakou příponu mají karboxylové kyseliny?;-ová kyselina;-al;-on;-ol;~Kyselina methanová, ethanová, propanová.
Jak se běžně říká kyselině methanové?;mravenčí;octová;máselná;citronová;~Obsažena v jedu mravenců a kopřiv.
Jak se běžně říká kyselině ethanové?;octová;mravenčí;máselná;šťavelová;~Ocet je zhruba osmiprocentní roztok.
Jak se běžně říká kyselině butanové?;máselná;octová;mravenčí;propionová;~Charakteristický zápach žluklého másla.
Která karboxylová kyselina je nejsilnější z uvedených?;kyselina trichloroctová;kyselina octová;kyselina propionová;kyselina máselná;~Elektronegativní chlory zvyšují kyselost odtahováním elektronů.
Proč jsou karboxylové kyseliny kyselejší než alkoholy?;karboxylátový anion je stabilizován rezonancí;jsou těžší;mají více uhlíků;jsou nepolární;~Záporný náboj je rozprostřen mezi dva kyslíky.
Co vzniká reakcí karboxylové kyseliny s alkoholem?;ester a voda;sůl a vodík;aldehyd;amid;~Esterifikace se katalyzuje kyselinou sírovou.
Jak se nazývá opačná reakce k esterifikaci?;hydrolýza;polymerace;oxidace;neutralizace;~Rozštěpení esteru vodou zpět na kyselinu a alkohol.
Co je zmýdelnění?;alkalická hydrolýza esteru;kyselá esterifikace;oxidace tuku;destilace;~Z tuku a hydroxidu vzniká mýdlo a glycerol.
Co je mýdlo chemicky?;sodná nebo draselná sůl vyšší mastné kyseliny;ester;alkohol;polymer;~Sodná mýdla jsou tuhá, draselná mazlavá.
Jakou vůni mají estery nižších kyselin?;ovocnou;štiplavou;po zkažených vejcích;bez vůně;~Používají se jako aromata v potravinářství.
Co jsou tuky chemicky?;estery glycerolu a vyšších mastných kyselin;polysacharidy;bílkoviny;soli;~Nazývají se také triacylglyceroly.
Čím se liší rostlinné oleje od živočišných tuků?;obsahují více nenasycených kyselin;jsou to bílkoviny;neobsahují glycerol;nejsou to estery;~Dvojné vazby snižují teplotu tání, proto jsou kapalné.
Co je ztužování tuků?;katalytická hydrogenace dvojných vazeb;oxidace;destilace;kvašení;~Vznikají tuhé tuky, ale i nezdravé trans mastné kyseliny.
Proč jsou trans mastné kyseliny nezdravé?;zvyšují riziko srdečně-cévních onemocnění;způsobují alergie;jsou karcinogenní přímo;ničí zuby;~Zhoršují poměr cholesterolu v krvi.
Kolik karboxylových skupin má kyselina šťavelová?;dvě;jednu;tři;čtyři;~Nejjednodušší dikarboxylová kyselina, jedovatá, ve šťovíku a rebarboře.
Kolik karboxylových skupin má kyselina citronová?;tři;jednu;dvě;čtyři;~Je také hydroxykyselinou, klíčová v Krebsově cyklu.
Která kyselina způsobuje svalovou únavu?;mléčná;octová;citronová;mravenčí;~Vzniká anaerobní glykolýzou při nedostatku kyslíku.
Která kyselina je v jablkách?;jablečná;citronová;vinná;mléčná;~Kyselina hydroxybutandiová.
Která kyselina se vylučuje ve víně jako vinný kámen?;vinná;octová;mléčná;jablečná;~Hydrogenvinan draselný se usazuje na dně sudu.
Co je kyselina salicylová?;2-hydroxybenzoová kyselina;benzoová kyselina;octová kyselina;mléčná kyselina;~Základ pro výrobu aspirinu, sama působí keratolyticky.
Co je acetylsalicylová kyselina?;aspirin;paracetamol;ibuprofen;penicilin;~Vzniká acetylací kyseliny salicylové, tlumí bolest a horečku.
Která kyselina se používá jako konzervant E210?;benzoová;octová;mravenčí;citronová;~Brzdí růst plísní a kvasinek.
Co jsou anhydridy kyselin?;produkty odštěpení vody ze dvou molekul kyseliny;soli;estery;amidy;~Například anhydrid kyseliny octové.
Co vzniká reakcí kyseliny s amoniakem za tepla?;amid;ester;anhydrid;ether;~Přes amonnou sůl se odštěpí voda.
Jak se nazývá derivát kyseliny s halogenem místo OH?;halogenid kyseliny;ester;amid;anhydrid;~Například acetylchlorid, velmi reaktivní.
Který derivát karboxylové kyseliny je nejreaktivnější?;halogenid kyseliny;amid;ester;sůl;~Chlor je výborná odstupující skupina.

#TÉMA: Organická chemie — dusíkaté deriváty a heterocykly
Jaká je funkční skupina aminů?;aminová NH2;nitro NO2;amidová CONH2;nitrilová CN;~Aminy jsou organické deriváty amoniaku.
Jak dělíme aminy?;na primární, sekundární a terciární;na kyselé a zásadité;na těžké a lehké;na rozpustné a nerozpustné;~Rozhoduje počet uhlíkatých zbytků na dusíku.
Mají aminy kyselý nebo zásaditý charakter?;zásaditý;kyselý;neutrální;amfoterní;~Volný elektronový pár na dusíku váže proton.
Který amin je odvozen od benzenu?;anilin;fenol;toluen;nitrobenzen;~Anilin je základ pro syntetická barviva.
Kdo objevil první syntetické barvivo z anilinu?;William Henry Perkin;Friedrich Wöhler;Justus Liebig;Robert Bunsen;~Mauvein objevil roku 1856 náhodou při pokusu o syntézu chininu.
Co jsou biogenní aminy?;aminy vznikající v organismu rozkladem aminokyselin;syntetická barviva;plastické hmoty;anorganické soli;~Například histamin nebo adrenalin.
Který biogenní amin způsobuje alergickou reakci?;histamin;serotonin;dopamin;adrenalin;~Proto se proti alergii podávají antihistaminika.
Jaká je funkční skupina nitrosloučenin?;NO2;NH2;CN;CONH2;~Nitroskupina se váže přes dusík.
Co vzniká redukcí nitrobenzenu?;anilin;fenol;benzen;toluen;~Průmyslová cesta k anilinu.
Jaká je funkční skupina amidů?;CONH2;COOH;NH2;NO2;~Karbonyl spojený s dusíkem.
Který přírodní polymer je tvořen amidovými vazbami?;bílkovina;škrob;celulóza;kaučuk;~Peptidová vazba je vlastně amidová.
Jak se nazývá amidová vazba v bílkovinách?;peptidová;glykosidická;esterová;etherová;~Spojuje karboxyl jedné aminokyseliny s aminoskupinou druhé.
Který syntetický polymer obsahuje amidové vazby?;nylon;polyethylen;PVC;teflon;~Polyamid, první syntetické vlákno na punčochy.
Co jsou aminokyseliny?;látky s aminovou i karboxylovou skupinou;jen kyseliny;jen aminy;soli;~Základní stavební kameny bílkovin.
Kolik aminokyselin tvoří bílkoviny živých organismů?;dvacet;deset;padesát;sto;~Proteinogenních aminokyselin je dvacet.
Co je amfion neboli zwitterion?;částice s kladným i záporným nábojem současně;neutrální molekula;anion;kation;~Aminokyselina ve vodě přenese proton z COOH na NH2.
Co je izoelektrický bod?;pH, při kterém je aminokyselina navenek neutrální;bod tání;bod varu;bod tuhnutí;~Při něm je rozpustnost nejnižší a bílkovina se sráží.
Co jsou heterocyklické sloučeniny?;cykly obsahující i jiný atom než uhlík;jen uhlíkaté cykly;lineární řetězce;aromatické uhlovodíky;~Nejčastěji dusík, kyslík nebo síra.
Který pětičlenný heterocyklus obsahuje dusík?;pyrrol;furan;thiofen;pyridin;~Je součástí hemu i chlorofylu.
Který pětičlenný heterocyklus obsahuje kyslík?;furan;pyrrol;thiofen;pyran;~Odvozeny jsou od něj cukry ve furanózové formě.
Který pětičlenný heterocyklus obsahuje síru?;thiofen;furan;pyrrol;pyridin;~Vyskytuje se v surové ropě.
Který šestičlenný heterocyklus obsahuje dusík?;pyridin;benzen;furan;pyrrol;~Nepříjemně páchne, je zásaditý.
Který heterocyklus je základem nukleových kyselin?;purin a pyrimidin;furan;thiofen;benzen;~Adenin a guanin jsou puriny, cytosin, thymin a uracil pyrimidiny.
Co je alkaloid?;dusíkatá zásaditá látka rostlinného původu;cukr;tuk;bílkovina;~Například morfin, kofein nebo nikotin.
Který alkaloid je v kávě?;kofein;nikotin;morfin;chinin;~Purinový alkaloid, stimuluje nervovou soustavu.
Který alkaloid je v tabáku?;nikotin;kofein;kodein;atropin;~Velmi silně návykový, v čisté formě prudce jedovatý.
Který alkaloid se získává z máku setého?;morfin;kofein;nikotin;chinin;~Silné analgetikum, ale s vysokým rizikem závislosti.
Který alkaloid se používal proti malárii?;chinin;morfin;kofein;atropin;~Získává se z kůry chinovníku.
Který alkaloid z rulíku zlomocné rozšiřuje zornice?;atropin;kofein;morfin;nikotin;~Používá se v očním lékařství.

#TÉMA: Laboratorní cvičení a bezpečnost práce
Co znamená zkratka BOZP?;bezpečnost a ochrana zdraví při práci;bezpečnostní ochrana zdravotního pracoviště;bezpečné odsávání zplodin z prostoru;bezpečnostní osvědčení zdravotního pracovníka;~Základní pravidla platí v každé laboratoři.
Co znamená zkratka GHS?;globálně harmonizovaný systém klasifikace chemikálií;generální hygienická směrnice;globální hodnocení surovin;systém hodnocení skladování;~Zavádí jednotné piktogramy a věty po celém světě.
Jaký tvar mají výstražné symboly GHS?;kosočtverec s červeným okrajem;oranžový čtverec;modrý kruh;zelený trojúhelník;~Bílé pole, černý symbol, červený rám.
Co znamenají H-věty na etiketě?;standardní věty o nebezpečnosti;pokyny pro bezpečné zacházení;hmotnostní údaje;datum výroby;~H je z anglického hazard.
Co znamenají P-věty na etiketě?;pokyny pro bezpečné zacházení;věty o nebezpečnosti;údaj o čistotě;jméno výrobce;~P je z anglického precaution.
Co je bezpečnostní list?;dokument s údaji o nebezpečnosti a zacházení s látkou;účtenka za chemikálii;protokol z měření;etiketa;~Má šestnáct povinných oddílů.
Kolik oddílů má bezpečnostní list?;šestnáct;osm;deset;dvacet;~Struktura je dána nařízením REACH.
Co znamená piktogram s lebkou a zkříženými hnáty?;akutní toxicita;dráždivost;hořlavost;žíravost;~Nejzávažnější stupeň, látka může způsobit smrt.
Co znamená piktogram s plamenem?;hořlavá látka;žíravá látka;toxická látka;oxidující látka;~Vyžaduje skladování mimo zdroje zapálení.
Co znamená piktogram s plamenem nad kruhem?;oxidující látka;hořlavá látka;výbušnina;plyn pod tlakem;~Podporuje hoření, například peroxidy nebo dusičnany.
Co znamená piktogram s tekutinou leptající ruku?;žíravost;dráždivost;toxicita;radioaktivita;~Poškozuje kůži i materiály.
Co znamená piktogram s uhynulou rybou a stromem?;nebezpečnost pro životní prostředí;hořlavost;výbušnost;toxicita pro člověka;~Látka nesmí do odpadu ani kanalizace.
Co znamená piktogram s tlakovou lahví?;plyn pod tlakem;výbušnina;hořlavina;oxidační činidlo;~Riziko exploze při zahřátí.
Jak správně ředíme koncentrovanou kyselinu sírovou?;lijeme kyselinu do vody;lijeme vodu do kyseliny;smícháme naráz;přidáme led;~Kyselinu do vody, nikdy naopak — reakce je silně exotermní.
Proč se nesmí lít voda do koncentrované kyseliny?;hrozí prskání a rozstřik kyseliny;reakce nenastane;vznikne plyn;kyselina zeslábne;~Uvolněné teplo způsobí prudký var na povrchu.
Co uděláme při potřísnění kůže kyselinou?;omyjeme velkým množstvím vody;neutralizujeme silnou zásadou;otřeme hadrem;přiložíme led;~Až po opláchnutí případně slabý roztok sody.
Co uděláme při zasažení oka chemikálií?;vyplachujeme proudem vody nejméně 15 minut;přiložíme obvaz;kapeme olej;protřeme rukou;~Poté vždy vyhledáme lékaře.
Čím se hasí hořící rozpouštědlo v laboratoři?;práškovým nebo sněhovým hasicím přístrojem;vodou;pískem z chodby;mokrým hadrem přes obličej;~Voda by hořící rozpouštědlo roznesla.
Kde se pracuje s těkavými a jedovatými látkami?;v digestoři;na volném stole;u okna;v lednici;~Digestoř odsává páry mimo pracoviště.
Co patří mezi základní osobní ochranné prostředky v laboratoři?;plášť, brýle a rukavice;jen plášť;jen rukavice;pokrývka hlavy;~Ochrana očí je povinná i při krátké práci.
Smí se v laboratoři jíst a pít?;ne, nikdy;ano, mimo digestoř;jen nápoje;jen o přestávce u stolu;~Hrozí požití chemikálií.
Jak se čichá k látce v laboratoři?;mávnutím rukou přiháníme páry k nosu;přímo nad hrdlem lahve;vůbec se nečichá;přes filtrační papír;~Nikdy nedáváme nos přímo nad zkumavku.
Čím se odměřuje přesný objem roztoku?;pipetou nebo byretou;odměrným válcem;kádinkou;Erlenmeyerovou baňkou;~Kádinka a válec slouží jen k orientačnímu odměření.
K čemu slouží odměrná baňka?;k přípravě roztoku o přesné koncentraci;k zahřívání;k filtraci;k destilaci;~Má jedinou rysku pro daný objem.
K čemu slouží byreta?;k odměrné analýze — titraci;k vážení;k sušení;k destilaci;~Umožňuje přesně odečíst spotřebu činidla.
Kde odečítáme hladinu v byretě?;na spodním okraji menisku;na horním okraji;uprostřed;kdekoli;~Oko musí být v rovině s hladinou, jinak vzniká chyba paralaxou.
K čemu slouží analytické váhy?;k vážení s přesností na desetiny miligramu;k hrubému vážení;k měření objemu;k měření hustoty;~Musí stát na pevném stole bez otřesů.
Co je tára?;hmotnost prázdné nádoby;hmotnost vzorku;celková hmotnost;chyba vážení;~Vytárováním vah odečteme hmotnost nádoby.
Co je filtrace?;dělení pevné látky od kapaliny přes porézní přepážku;odpaření kapaliny;oddělení dvou kapalin;čištění krystalizací;~Na filtru zůstane filtrační koláč, prochází filtrát.
Co je dekantace?;slévání kapaliny nad usazenou sraženinou;filtrace přes papír;destilace;sušení;~Používá se před filtrací u hrubých sraženin.
Co je destilace?;dělení kapalin podle rozdílné teploty varu;dělení podle hustoty;dělení podle barvy;dělení podle rozpustnosti;~Kapalina se odpaří a znovu zkondenzuje.
K čemu slouží frakční destilace?;k dělení směsi více kapalin s blízkými body varu;k sušení;k filtraci;k odstředění;~Používá se u ropy nebo v lihovarnictví.
Co je destilace s vodní parou?;šetrné dělení látek nemísitelných s vodou;destilace pod tlakem;destilace za sucha;odpařování;~Používá se na silice a éterické oleje, chrání látky před rozkladem.
Proč se destiluje za sníženého tlaku?;aby látka vřela při nižší teplotě a nerozložila se;aby to bylo rychlejší;aby vznikl vakuový produkt;kvůli úspoře vody;~Snížením tlaku klesá teplota varu.
Co je extrakce?;dělení látek podle rozdílné rozpustnosti ve dvou rozpouštědlech;dělení podle bodu varu;filtrace;odpařování;~Provádí se v dělicí nálevce.
K čemu slouží dělicí nálevka?;k oddělení dvou nemísitelných kapalin;k filtraci;k destilaci;k titraci;~Spodní vrstva se vypustí kohoutem.
Co je krystalizace?;čištění látky vyloučením krystalů z roztoku;odpařování dosucha;destilace;filtrace;~Nečistoty zůstanou v matečném louhu.
Co je sublimace?;přechod pevné látky přímo v páru;tání;tuhnutí;var;~Používá se k čištění jodu nebo kofeinu.
Co je chromatografie?;dělicí metoda využívající různou afinitu k mobilní a stacionární fázi;typ destilace;typ vážení;titrace;~Existuje papírová, tenkovrstvá, sloupcová i plynová.
Co je Rf hodnota v chromatografii?;poměr dráhy látky k dráze rozpouštědla;rychlost průtoku;koncentrace vzorku;doba analýzy;~Je charakteristická pro danou látku za daných podmínek.
Jak zjistíme čistotu pevné organické látky?;změřením teploty tání;změřením hmotnosti;podle barvy;podle vůně;~Čistá látka taje ostře, nečistota rozsah rozšiřuje a snižuje.
Co je zpětný chladič?;chladič vracející páry zpět do baňky;chladič odvádějící destilát;chladicí lázeň;ledová vana;~Umožňuje dlouhý var bez ztráty rozpouštědla.
Proč se do baňky přidávají varné kamínky?;aby var byl rovnoměrný a nedošlo k utajenému varu;kvůli katalýze;pro zvýšení výtěžku;kvůli barvě;~Zabraňují přehřátí a prudkému vystříknutí.
Jak správně zahříváme zkumavku?;šikmo, ústím od sebe i od ostatních;svisle nad plamenem;ústím k sobě;vodorovně;~Obsah může vystříknout.
Co je azeotropická směs?;směs, která vře při stálé teplotě a nelze ji rozdělit destilací;směs nemísitelných látek;emulze;roztok soli;~Například ethanol s vodou při 95,6 procenta.
Jaká je maximální koncentrace ethanolu dosažitelná běžnou destilací?;asi 96 %;100 %;80 %;99,9 %;~Kvůli azeotropu je nutné pro absolutní líh použít jiné metody.

#TÉMA: Technologické procesy
Co je jednotková operace?;základní fyzikální děj společný různým výrobám;chemická reakce;typ katalyzátoru;měřicí přístroj;~Například filtrace, destilace nebo sušení.
Co je surovina?;vstupní materiál pro výrobu;hotový výrobek;odpad;energie;~Dělíme je na primární a druhotné.
Co znamená kontinuální výroba?;probíhá nepřetržitě;probíhá po dávkách;probíhá jen v zimě;probíhá ručně;~Suroviny se plynule přivádějí a produkt odvádí.
Co znamená diskontinuální výroba?;probíhá po vsádkách;probíhá nepřetržitě;probíhá automaticky;probíhá bez katalyzátoru;~Vhodná pro malé série, například ve farmacii.
Co je katalyzátor?;látka urychlující reakci, která se nespotřebuje;látka zpomalující reakci;surovina;produkt;~Snižuje aktivační energii.
Co je inhibitor?;látka zpomalující reakci;látka urychlující reakci;rozpouštědlo;katalyzátor;~Například stabilizátory v monomerech.
Co je exotermní reakce?;reakce uvolňující teplo;reakce spotřebovávající teplo;reakce bez tepelné změny;reakce za nízkého tlaku;~Reaktor je nutné chladit.
Co je endotermní reakce?;reakce spotřebovávající teplo;reakce uvolňující teplo;reakce bez katalyzátoru;výbušná reakce;~Je nutné dodávat energii.
Co říká Le Chatelierův princip?;soustava se brání vnější změně;reakce probíhá vždy doprava;teplo se neztrácí;hmota se zachovává;~Zvýšení tlaku posune rovnováhu tam, kde je méně plynných molekul.
Jak se jmenuje výroba amoniaku ze vzduchu a vodíku?;Haberův-Boschův proces;Solvayův proces;Ostwaldův proces;Bayerův proces;~Probíhá za vysokého tlaku a teploty na železném katalyzátoru.
K čemu se používá amoniak především?;na výrobu hnojiv;na výrobu skla;na výrobu papíru;na výrobu cementu;~Přes 80 procent produkce jde do dusíkatých hnojiv.
Jak se jmenuje výroba kyseliny dusičné z amoniaku?;Ostwaldův proces;Haberův proces;Solvayův proces;kontaktní proces;~Katalytická oxidace na platinovém sítu.
Jak se jmenuje moderní výroba kyseliny sírové?;kontaktní proces;komorový proces;Solvayův proces;Ostwaldův proces;~Oxid siřičitý se oxiduje na oxid sírový na katalyzátoru V2O5.
Proč se oxid sírový nezavádí přímo do vody?;vznikla by obtížně kondenzovatelná mlha;reakce by neproběhla;voda by zamrzla;kyselina by se rozložila;~Zavádí se do koncentrované kyseliny sírové na oleum.
Jak se jmenuje výroba sody Solvayovým způsobem?;amoniakový způsob;kontaktní způsob;komorový způsob;elektrolytický způsob;~Ze soli, vápence a amoniaku vzniká uhličitan sodný.
Co je frakční destilace ropy?;dělení ropy podle teploty varu na frakce;odsolení ropy;krakování;rafinace;~V destilační koloně se oddělí benzin, petrolej, nafta i mazut.
Která frakce ropy vře nejníže?;benzin;nafta;mazut;asfalt;~Lehké uhlovodíky odcházejí horem kolony.
Co je krakování?;štěpení dlouhých uhlovodíků na kratší;spojování řetězců;odsiřování;destilace;~Zvyšuje výtěžek benzinu z ropy.
Co je reformování?;úprava struktury uhlovodíků pro vyšší oktanové číslo;štěpení řetězců;odsolení;chlazení;~Vznikají rozvětvené a aromatické uhlovodíky.
Co je koksování uhlí?;zahřívání uhlí bez přístupu vzduchu;spalování uhlí;mletí uhlí;praní uhlí;~Vzniká koks, koksárenský plyn a černouhelný dehet.
Co je vysoká pec?;zařízení na výrobu surového železa;pec na pálení vápna;destilační kolona;sušárna;~Redukce oxidů železa koksem.
Co je elektrolýza?;rozklad látky stejnosměrným proudem;tepelný rozklad;rozklad zářením;katalytická reakce;~Používá se na výrobu hliníku, chloru i hydroxidu sodného.
Který kov se vyrábí elektrolýzou taveniny oxidu?;hliník;železo;měď;olovo;~Hall-Héroultův proces v tavenině kryolitu.
Co vzniká elektrolýzou roztoku chloridu sodného?;hydroxid sodný, chlor a vodík;soda a kyslík;chlorid vápenatý;jen vodík;~Chloralkalická elektrolýza patří k základům chemického průmyslu.
Co je fermentace?;biochemická přeměna pomocí mikroorganismů;destilace;filtrace;elektrolýza;~Používá se při výrobě lihu, antibiotik i kyseliny citronové.
Který organismus zajišťuje lihové kvašení?;kvasinky;bakterie mléčného kvašení;plísně;řasy;~Saccharomyces cerevisiae mění cukr na ethanol a oxid uhličitý.
Který lék se vyrábí biotechnologicky z plísně?;penicilin;aspirin;paracetamol;ibuprofen;~Objevil ho Alexander Fleming roku 1928.
Co je bioreaktor neboli fermentor?;nádoba pro řízený růst mikroorganismů;destilační kolona;sušárna;filtr;~Řídí se v něm teplota, pH, kyslík i míchání.
Co je SVP ve farmaceutické výrobě?;správná výrobní praxe;systém výrobního plánování;směrnice o výrobě prášků;standardní vzorkovací protokol;~Anglicky GMP, soubor pravidel zaručujících kvalitu léčiv.
Co je validace procesu?;doložení, že proces trvale dává požadovaný výsledek;jednorázová kontrola;kalibrace vah;čištění zařízení;~Klíčový požadavek správné výrobní praxe.
Co je čistá výroba?;strategie předcházení vzniku odpadu u zdroje;úklid provozu;filtrace odpadu;recyklace obalů;~Levnější než čištění odpadů na konci potrubí.
Co jsou emise?;látky vypouštěné do ovzduší ze zdroje;látky naměřené v ovzduší;odpadní voda;pevný odpad;~Naproti tomu imise je koncentrace v prostředí.
Co je čistička odpadních vod?;zařízení na mechanické a biologické čištění vod;filtr vzduchu;spalovna;skládka;~Aktivovaný kal rozkládá organické znečištění.
Co je BSK5?;biochemická spotřeba kyslíku za pět dní;bezpečnostní kód;kyselost vody;tvrdost vody;~Ukazatel organického znečištění vody.

#TÉMA: Technická příprava
K čemu slouží technické kreslení?;k jednoznačnému grafickému zápisu tvaru a rozměrů;k výtvarnému vyjádření;k reklamě;k výpočtu ceny;~Řídí se normami ČSN a ISO.
Jaký je základní formát výkresu?;A4;A0;A3;A5;~Ostatní formáty jsou jeho násobky nebo díly.
Jaké jsou rozměry formátu A4?;210 × 297 mm;297 × 420 mm;148 × 210 mm;100 × 200 mm;~Základní kancelářský i výkresový formát.
Co znamená měřítko 1:2?;výkres je dvakrát zmenšený;výkres je dvakrát zvětšený;skutečná velikost;polovina tloušťky;~První číslo je výkres, druhé skutečnost.
Co znamená měřítko 2:1?;výkres je dvakrát zvětšený;dvakrát zmenšený;skutečná velikost;čtvrtinový;~Používá se pro drobné součásti.
Jakou čarou se kreslí viditelné hrany?;tlustou plnou;tenkou plnou;čerchovanou;čárkovanou;~Nejvýraznější čára na výkrese.
Jakou čarou se kreslí neviditelné hrany?;čárkovanou;plnou tlustou;čerchovanou;tenkou plnou;~Skryté obrysy za tělesem.
Jakou čarou se kreslí osy souměrnosti?;tenkou čerchovanou;tlustou plnou;čárkovanou;vlnovkou;~Střídá se čárka a tečka.
Co je kóta?;údaj o rozměru na výkrese;název součásti;typ materiálu;číslo výkresu;~Kótuje se v milimetrech bez uvedení jednotky.
Co je řez na výkrese?;zobrazení vnitřního tvaru po myšleném rozříznutí;pohled zvenku;detail;rozvinutí;~Plocha řezu se šrafuje.
Co je tolerance rozměru?;přípustná odchylka od jmenovitého rozměru;chyba měření;hmotnost;drsnost povrchu;~Bez tolerancí by součásti nešly zaměnit.
Co je schéma v chemickém průmyslu?;zjednodušené grafické znázornění zařízení a toků;detailní výrobní výkres;fotografie provozu;seznam surovin;~Například technologické nebo potrubní schéma.
Co je P&I schéma?;schéma potrubí a přístrojového vybavení;plán bezpečnosti;výkres budovy;seznam pracovníků;~Ukazuje aparáty, potrubí, armatury a měřicí body.
Co je korozivzdorná ocel?;ocel s obsahem chromu nad 10,5 %;čisté železo;ocel s uhlíkem;litina;~Chrom tvoří pasivní vrstvu oxidu.
Proč se v chemickém průmyslu používá sklo a keramika?;jsou chemicky odolné;jsou levné;jsou pružné;dobře vedou teplo;~Nevýhodou je křehkost.
Který materiál je odolný vůči kyselině fluorovodíkové?;polyethylen nebo teflon;sklo;běžná ocel;hliník;~Kyselina fluorovodíková leptá sklo, skladuje se v plastu.
Co je koroze?;znehodnocování materiálu chemickým nebo elektrochemickým působením;mechanické opotřebení;tepelná deformace;únava materiálu;~Nejčastěji rezavění železa.
Jak se chrání ocel před korozí?;nátěrem, pokovením nebo katodovou ochranou;zahřátím;broušením;chlazením;~Cílem je oddělit kov od prostředí nebo změnit potenciál.
Co je čerpadlo?;zařízení pro dopravu kapalin;zařízení pro dopravu plynů;výměník tepla;filtr;~Pro plyny slouží kompresory a ventilátory.
K čemu slouží výměník tepla?;k přenosu tepla mezi dvěma médii;k čerpání kapalin;k filtraci;k míchání;~Například trubkový nebo deskový.
Co je armatura na potrubí?;prvek pro uzavírání a regulaci toku;spojka trubek;izolace;podpěra;~Například ventil, kohout nebo klapka.
Co je manometr?;přístroj na měření tlaku;na měření teploty;na měření průtoku;na měření hladiny;~Sleduje se u tlakových nádob.
Co je termočlánek?;čidlo teploty založené na termoelektrickém jevu;čidlo tlaku;čidlo průtoku;čidlo pH;~Vzniká napětí úměrné rozdílu teplot spojů.
Co je rotametr?;průtokoměr s plovákem ve svislé trubici;teploměr;tlakoměr;váha;~Výška plováku ukazuje průtok.

#TÉMA: Biologie
Co je základní stavební a funkční jednotkou života?;buňka;tkáň;orgán;molekula;~Buněčnou teorii formulovali Schleiden a Schwann.
Čím se liší prokaryotická buňka od eukaryotické?;nemá jádro oddělené membránou;nemá cytoplazmu;nemá ribozomy;nemá DNA;~Prokaryota jsou bakterie a archea.
Která organela je energetickým centrem buňky?;mitochondrie;ribozom;lyzozom;Golgiho aparát;~Probíhá v ní buněčné dýchání a tvorba ATP.
Která organela zajišťuje fotosyntézu?;chloroplast;mitochondrie;jádro;vakuola;~Obsahuje zelené barvivo chlorofyl.
Co je úkolem ribozomů?;syntéza bílkovin;tvorba ATP;trávení;dělení buňky;~Překládají genetickou informaci z mRNA.
Která organela obsahuje trávicí enzymy?;lyzozom;ribozom;mitochondrie;chloroplast;~Rozkládá odpadní a poškozené části buňky.
Co je úkolem Golgiho aparátu?;úprava a distribuce bílkovin;výroba energie;dělení buňky;fotosyntéza;~Balí produkty do váčků.
